threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,overall_accuracy,overall_f1,overall_precision,overall_recall,negative_accuracy,negative_f1,negative_precision,negative_recall,neutral_accuracy,neutral_f1,neutral_precision,neutral_recall,positive_accuracy,positive_f1,positive_precision,positive_recall
2.0,8816732176.72401,219396707,21.093146992686485,21.093146992686474,0.40548953027730616,0.23546041036251097,0.4759622870923321,0.40548953027730616,0.0,0.0,0.0,0.0,0.9993006993006993,0.5763258721516434,0.4049305752337773,0.9993006993006993,0.003626473254759746,0.007226738934056007,1.0,0.003626473254759746
2.1,8731421296.828037,217273820,21.85665130754448,21.85665130754447,0.4046406338426712,0.2331330001591538,0.16373404255659868,0.4046406338426712,0.0,0.0,0.0,0.0,1.0,0.5761482675261885,0.4046406338426712,1.0,0.0,0.0,0.0,0.0
2.2,8647673742.652987,215189835,22.60616437140486,22.606164371404848,0.4066213921901528,0.23739875178686992,0.4761699262653098,0.4066213921901528,0.0,0.0,0.0,0.0,1.0,0.5769618721000606,0.4054437198752481,1.0,0.006346328195829556,0.012612612612612612,1.0,0.006346328195829556
2.3000000000000003,8565550999.170145,213146282,23.341135913998034,23.341135913998045,0.40548953027730616,0.23496716724336814,0.47598407636012957,0.40548953027730616,0.0,0.0,0.0,0.0,1.0,0.5764966740576497,0.40498442367601245,1.0,0.0027198549410698096,0.0054249547920434,1.0,0.0027198549410698096
2.4000000000000004,8484849764.111711,211138102,24.06338542375128,24.06338542375128,0.4046406338426712,0.2331330001591538,0.16373404255659868,0.4046406338426712,0.0,0.0,0.0,0.0,1.0,0.5761482675261885,0.4046406338426712,1.0,0.0,0.0,0.0,0.0
2.5,8405774304.215623,209170378,24.771084780546836,24.771084780546847,0.4046406338426712,0.2331330001591538,0.16373404255659868,0.4046406338426712,0.0,0.0,0.0,0.0,1.0,0.5761482675261885,0.4046406338426712,1.0,0.0,0.0,0.0,0.0
2.6,8327951289.166029,207233820,25.467575167916856,25.467575167916866,0.4060554612337295,0.2361849462372183,0.4760769486491024,0.4060554612337295,0.0,0.0,0.0,0.0,1.0,0.5767291792700141,0.4052139416265231,1.0,0.004533091568449683,0.009025270758122744,1.0,0.004533091568449683
2.7,8251168133.670048,205323138,26.154759154309694,26.154759154309694,0.41029994340690434,0.24615989086612075,0.43932755338644924,0.41029994340690434,0.0,0.0,0.0,0.0,0.9986013986013986,0.578254707430654,0.4069535480193787,0.9986013986013986,0.019945602901178604,0.03900709219858156,0.88,0.019945602901178604
2.8000000000000003,8175486202.140198,203439859,26.832087548417082,26.832087548417082,0.40860215053763443,0.24256369537774303,0.4417740315165812,0.40860215053763443,0.0,0.0,0.0,0.0,0.9986013986013986,0.5774363121714516,0.4061433447098976,0.9986013986013986,0.014505893019038985,0.028545941123996433,0.8888888888888888,0.014505893019038985
2.9000000000000004,8100890505.103087,201583610,27.499694501095608,27.499694501095608,0.40775325410299945,0.24077095168975748,0.43469812914708467,0.40775325410299945,0.0,0.0,0.0,0.0,0.9986013986013986,0.5770862800565771,0.4057971014492754,0.9986013986013986,0.011786038077969175,0.023255813953488372,0.8666666666666667,0.011786038077969175
3.0,8027360467.195775,199753879,28.15776415507599,28.15776415507599,0.4046406338426712,0.2331330001591538,0.16373404255659868,0.4046406338426712,0.0,0.0,0.0,0.0,1.0,0.5761482675261885,0.4046406338426712,1.0,0.0,0.0,0.0,0.0
