threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,overall_accuracy,overall_f1,overall_precision,overall_recall,ham_accuracy,ham_f1,ham_precision,ham_recall,spam_accuracy,spam_f1,spam_precision,spam_recall,model_id
3.3000000000000003,2783694147.2610373,33361108,50.17384285617824,50.173842856178254,0.935,0.9347572316590032,0.9415723630516608,0.935,0.996,0.938737040527804,0.8877005347593583,0.996,0.874,0.9307774227902024,0.9954441913439636,0.874,2
3.4000000000000004,2735068981.297307,32778361,51.04419894858053,51.04419894858053,0.947,0.9468826638043438,0.950984902599368,0.947,0.994,0.9493791786055396,0.9085923217550276,0.994,0.9,0.944386149003148,0.9933774834437086,0.9,2
3.5,2687112263.5701795,32203625,51.90259029014543,51.90259029014543,0.948,0.9478897346785798,0.9518242403704958,0.948,0.994,0.9502868068833652,0.9102564102564102,0.994,0.902,0.9454926624737946,0.9933920704845814,0.902,2
3.6,2639919367.4830294,31638043,52.74730976438222,52.74730976438223,0.948,0.9478991327209478,0.9514963880288958,0.948,0.992,0.950191570881226,0.9117647058823528,0.992,0.904,0.9456066945606696,0.9912280701754386,0.904,2
3.7,2593215020.1944447,31078316,53.583284560532285,53.583284560532285,0.953,0.9529423543841206,0.9552306300874284,0.953,0.988,0.9545893719806764,0.9233644859813084,0.988,0.918,0.9512953367875648,0.9870967741935484,0.918,2
3.8,2547313044.425417,30528205,54.404897473764805,54.40489747376481,0.964,0.9639792520491804,0.9650715247931232,0.964,0.988,0.96484375,0.9427480916030534,0.988,0.94,0.9631147540983608,0.9873949579831932,0.94,2
3.9,2501931992.678498,29984337,55.217186215298696,55.217186215298696,0.964,0.9639792520491804,0.9650715247931232,0.964,0.988,0.96484375,0.9427480916030534,0.988,0.94,0.9631147540983608,0.9873949579831932,0.94,2
4.0,2457131525.481607,29447427,56.01908290386459,56.01908290386459,0.969,0.968996248546074,0.9692271059192648,0.969,0.98,0.9693372898120672,0.958904109589041,0.98,0.958,0.9686552072800808,0.9795501022494888,0.958,2
4.1000000000000005,2412825948.621914,28916448,56.81212140528575,56.81212140528575,0.967,0.9669983829207632,0.967091549943789,0.967,0.96,0.9667673716012084,0.973630831643002,0.96,0.974,0.9672293942403176,0.960552268244576,0.974,2
4.2,2369309893.321918,28394931,57.59102802898586,57.59102802898586,0.95,0.9499607692430866,0.9514156394453004,0.95,0.922,0.948559670781893,0.9766949152542372,0.922,0.978,0.95136186770428,0.9261363636363636,0.978,2
4.3,2326274877.103687,27879179,58.36132439322053,58.36132439322053,0.945,0.9449246017798366,0.9474502375005528,0.945,0.908,0.9428868120456906,0.980561555075594,0.908,0.982,0.9469623915139826,0.914338919925512,0.982,2
4.4,2283726073.3276825,27369254,59.12291789849509,59.12291789849509,0.912,0.911461330736199,0.9222765214254088,0.912,0.834,0.9045553145336226,0.9881516587677726,0.834,0.99,0.9183673469387756,0.856401384083045,0.99,2
4.5,2241803079.2851095,26866829,59.873309851993305,59.873309851993305,0.881,0.8793484002510366,0.9030705299372436,0.881,0.764,0.8652321630804077,0.9973890339425588,0.764,0.998,0.8934646374216652,0.8087520259319287,0.998,2
4.6000000000000005,2200483866.4733515,26371640,60.61289454833767,60.61289454833768,0.787,0.7770751633473892,0.8491841015383568,0.787,0.576,0.7300380228136882,0.9965397923875432,0.576,0.998,0.82411230388109,0.7018284106891702,0.998,2
4.7,2159560165.413122,25881191,61.34539986395939,61.34539986395939,0.81,0.8030385961420444,0.8610427847346452,0.81,0.622,0.7660098522167488,0.9967948717948718,0.622,0.998,0.8400673400673401,0.7252906976744186,0.998,2
4.800000000000001,2119282216.556496,25398481,62.06634667168815,62.06634667168815,0.777,0.7653301005713107,0.8457814661134163,0.777,0.554,0.712998712998713,1.0,0.554,1.0,0.8176614881439084,0.6915629322268326,1.0,2
4.9,2079561154.9213264,24922445,62.777325591876185,62.777325591876185,0.746,0.7287762040628043,0.829765785861359,0.746,0.494,0.660427807486631,0.995967741935484,0.494,0.998,0.7971246006389776,0.663563829787234,0.998,2
5.0,2040411499.2934284,24453257,63.47807674852229,63.47807674852229,0.743,0.725126340276478,0.8284227598324098,0.743,0.488,0.6550335570469799,0.9959183673469388,0.488,0.998,0.7952191235059761,0.6609271523178808,0.998,2
